SKU,QtdEstoque,DataSnapshot,Laboratorio
22482,0,20/01/2026,BH Shopping
22487,0,20/01/2026,BH Shopping
22492,0,20/01/2026,BH Shopping
22504,0,20/01/2026,BH Shopping
22515,2,20/01/2026,BH Shopping
22547,0,20/01/2026,BH Shopping
22578,0,20/01/2026,BH Shopping
22589,2,20/01/2026,BH Shopping
22590,0,20/01/2026,BH Shopping
22595,1,20/01/2026,BH Shopping
22597,2,20/01/2026,BH Shopping
22598,0,20/01/2026,BH Shopping
22642,0,20/01/2026,BH Shopping
22666,1,20/01/2026,BH Shopping
22667,0,20/01/2026,BH Shopping
22668,0,20/01/2026,BH Shopping
22756,3,20/01/2026,BH Shopping
22850,0,20/01/2026,BH Shopping
22854,0,20/01/2026,BH Shopping
22859,3,20/01/2026,BH Shopping
22870,1,20/01/2026,BH Shopping
22883,1,20/01/2026,BH Shopping
22922,1,20/01/2026,BH Shopping
22923,1,20/01/2026,BH Shopping
22980,0,20/01/2026,BH Shopping
22985,0,20/01/2026,BH Shopping
22987,2,20/01/2026,BH Shopping
22988,0,20/01/2026,BH Shopping
22990,0,20/01/2026,BH Shopping
23003,0,20/01/2026,BH Shopping
23004,0,20/01/2026,BH Shopping
23005,1,20/01/2026,BH Shopping
23006,0,20/01/2026,BH Shopping
23007,0,20/01/2026,BH Shopping
23008,0,20/01/2026,BH Shopping
23010,0,20/01/2026,BH Shopping
23011,3,20/01/2026,BH Shopping
23012,0,20/01/2026,BH Shopping
23013,0,20/01/2026,BH Shopping
23014,0,20/01/2026,BH Shopping
23015,0,20/01/2026,BH Shopping
23016,0,20/01/2026,BH Shopping
23017,0,20/01/2026,BH Shopping
23018,0,20/01/2026,BH Shopping
23019,2,20/01/2026,BH Shopping
23020,0,20/01/2026,BH Shopping
23023,0,20/01/2026,BH Shopping
23024,0,20/01/2026,BH Shopping
23061,0,20/01/2026,BH Shopping
23062,0,20/01/2026,BH Shopping
23063,0,20/01/2026,BH Shopping
23064,0,20/01/2026,BH Shopping
23065,0,20/01/2026,BH Shopping
23066,0,20/01/2026,BH Shopping
23067,0,20/01/2026,BH Shopping
23082,1,20/01/2026,BH Shopping
23083,0,20/01/2026,BH Shopping
23158,1,20/01/2026,BH Shopping
23186,0,20/01/2026,BH Shopping
23189,2,20/01/2026,BH Shopping
23217,2,20/01/2026,BH Shopping
23218,3,20/01/2026,BH Shopping
23224,0,20/01/2026,BH Shopping
23234,0,20/01/2026,BH Shopping
23264,0,20/01/2026,BH Shopping
23265,0,20/01/2026,BH Shopping
23266,3,20/01/2026,BH Shopping
23267,0,20/01/2026,BH Shopping
23268,3,20/01/2026,BH Shopping
23269,0,20/01/2026,BH Shopping
23270,0,20/01/2026,BH Shopping
23271,0,20/01/2026,BH Shopping
23273,0,20/01/2026,BH Shopping
23277,0,20/01/2026,BH Shopping
23284,3,20/01/2026,BH Shopping
23285,2,20/01/2026,BH Shopping
23286,4,20/01/2026,BH Shopping
23321,0,20/01/2026,BH Shopping
23323,0,20/01/2026,BH Shopping
23325,0,20/01/2026,BH Shopping
23341,0,20/01/2026,BH Shopping
23342,0,20/01/2026,BH Shopping
23364,0,20/01/2026,BH Shopping
23376,0,20/01/2026,BH Shopping
23397,0,20/01/2026,BH Shopping
23443,0,20/01/2026,BH Shopping
23461,0,20/01/2026,BH Shopping
23472,0,20/01/2026,BH Shopping
23473,0,20/01/2026,BH Shopping
23476,0,20/01/2026,BH Shopping
23590,3,20/01/2026,BH Shopping
23703,0,20/01/2026,BH Shopping
23714,1,20/01/2026,BH Shopping
23715,0,20/01/2026,BH Shopping
23716,2,20/01/2026,BH Shopping
23717,0,20/01/2026,BH Shopping
23718,0,20/01/2026,BH Shopping
23719,0,20/01/2026,BH Shopping
23720,0,20/01/2026,BH Shopping
23725,0,20/01/2026,BH Shopping
23726,0,20/01/2026,BH Shopping
23727,0,20/01/2026,BH Shopping
23728,0,20/01/2026,BH Shopping
23730,0,20/01/2026,BH Shopping
23731,0,20/01/2026,BH Shopping
23737,0,20/01/2026,BH Shopping
23738,0,20/01/2026,BH Shopping
23739,0,20/01/2026,BH Shopping
